company,state,industry,website,email,demo_url,date_sent,reply_status,opt_out_status,follow_up_status,revenue_recovery_pilot_offered
From the Ground Up Landscape Construction & Design,NM,Landscaping,https://fromthegrounduplandscapesnm.com/,contact@fromthegrounduplandscapesnm.com,https://aridon-v02.vercel.app/daily-demos/ground-up-landscape-a14,2026-08-14,no reply,no,none,yes
All Seasons Landscape,NM,Landscaping,https://www.allseasonsnm.com/,contact@allseasonsnm.com,https://aridon-v02.vercel.app/daily-demos/all-seasons-landscape-a14,2026-08-14,no reply,no,none,yes
Medina's Plumbing,NM,Plumbing/HVAC,https://medinasplumbing.com/,medinasplumbing@outlook.com,https://aridon-v02.vercel.app/daily-demos/medinas-plumbing-a14,2026-08-14,no reply,no,none,yes
Silva's Roofing & Gutters,NM,Roofing,https://www.silvasroofingnm.com/,info@silvasroofingnm.com,https://aridon-v02.vercel.app/daily-demos/silvas-roofing-a14,2026-08-14,no reply,no,none,yes
Mountain Paradise Landscaping,NM,Landscaping,https://mp-nm.com/,david@mp-nm.com,https://aridon-v02.vercel.app/daily-demos/mountain-paradise-a14,2026-08-14,no reply,no,none,yes
Car Land,NM,Auto sales/service,https://www.carlandonline.com/,scott@carlandonline.com,https://aridon-v02.vercel.app/daily-demos/car-land-a14,2026-08-14,no reply,no,none,yes
Santa Fe Style Builders,NM,Construction,https://santafestylebuilders.com/,info@santafestylebuilders.com,https://aridon-v02.vercel.app/daily-demos/santa-fe-style-builders-a14,2026-08-14,no reply,no,none,yes
Hyde Park Stucco & Construction,NM,Construction,https://www.hydeparkconstruction.com/,cristian@hydeparkconstruction.com,https://aridon-v02.vercel.app/daily-demos/hyde-park-construction-a14,2026-08-14,no reply,no,none,yes
Scottsdale Plumbing,AZ,Plumbing,https://www.scottsdaleplumbing.com/,info@scottsdaleplumbing.com,https://aridon-v02.vercel.app/daily-demos/scottsdale-plumbing-a14,2026-08-14,no reply,no,none,yes
ABRC,AZ,Roofing,https://www.abrctucson.com/,admin@usabestroofing.com,https://aridon-v02.vercel.app/daily-demos/abrc-tucson-a14,2026-08-14,no reply,no,none,yes
DLC Construction & Remodeling LLC,AZ,Construction/remodeling,https://dlcconstructionaz.com/,dlccon.remodeling@gmail.com,https://aridon-v02.vercel.app/daily-demos/dlc-construction-a14,2026-08-14,no reply,no,none,yes
San Tan Renovations and Home Services,AZ,Renovation/property services,https://santanrenovations.com/,david@santanrenovations.com,https://aridon-v02.vercel.app/daily-demos/san-tan-renovations-a14,2026-08-14,no reply,no,none,yes
Norris Air,AZ,HVAC,https://norrisair.com/,norrisair@norrisairinc.com,https://aridon-v02.vercel.app/daily-demos/norris-air-a14,2026-08-14,no reply,no,none,yes
Desert Paradise Landscape Management,AZ,Landscaping,https://www.desertparadiselandscape.com/,info@desertparadiselandscape.com,https://aridon-v02.vercel.app/daily-demos/desert-paradise-landscape-a14,2026-08-14,no reply,no,none,yes
Peak Landscape,AZ,Landscaping,https://azpeaklandscape.com/,jordan@azpeaklandscape.com,https://aridon-v02.vercel.app/daily-demos/peak-landscape-a14,2026-08-14,no reply,no,none,yes
America Roofing,AZ,Roofing,https://www.americaroofingco.com/,sales@americaroofingco.com,https://aridon-v02.vercel.app/daily-demos/america-roofing-a14,2026-08-14,no reply,no,none,yes
