date_sent,company,state,industry,website,email,demo_url,reply_status,opt_out_or_removal,follow_up_status
2026-08-09,Adobe Roofing Company,New Mexico,Roofing,https://adoberoofing.com/,info@adoberoofing.com,https://aridon-v02.vercel.app/demos/adobe-roofing-8f3k,no_reply,no,not_due
2026-08-09,Tru Air Systems LLC,New Mexico,HVAC,https://www.truairnm.com/,info@truairnm.com,https://aridon-v02.vercel.app/demos/tru-air-nm-2h5x,no_reply,no,not_due
2026-08-09,StoneBridge Construction & Design,New Mexico,Construction,https://stonebridgenm.com/,gilbert@stonebridgenm.com,https://aridon-v02.vercel.app/demos/stonebridge-nm-7c4j,no_reply,no,not_due
2026-08-09,New Mexico Landscaping,New Mexico,Landscape,https://nmlandscaping.com/,info@nmlandscaping.com,https://aridon-v02.vercel.app/demos/nm-landscaping-5w8d,no_reply,no,not_due
2026-08-09,W&D Roofing & Contracting LLC,Arizona,Roofing,https://arizonaroofpro.com/,w.d.roofing@icloud.com,https://aridon-v02.vercel.app/demos/wd-roofing-az-9m2r,no_reply,no,not_due
2026-08-09,Cool Me Down LLC,Arizona,HVAC,https://www.coolmedownllc.net/,CoolMeDownLLC@gmail.com,https://aridon-v02.vercel.app/demos/cool-me-down-4q7m,no_reply,no,not_due
2026-08-09,SAE Construction Inc.,Arizona,Construction,https://saeconstructionaz.com/,contact@saeconstructionaz.com,https://aridon-v02.vercel.app/demos/sae-construction-az-1v6b,no_reply,no,not_due
2026-08-09,Element Landscape Management,Arizona,Landscape,https://www.azelement.com/,contact@azelement.com,https://aridon-v02.vercel.app/demos/element-landscape-az-3p9f,no_reply,no,not_due
2026-08-09,Texas Roofing & General Contractors,Texas,Roofing,https://txroof.org/,nick@txroof.org,https://aridon-v02.vercel.app/demos/tx-roof-general-4t1n,no_reply,no,not_due
2026-08-09,Texan Heating & Air,Texas,HVAC,https://www.texanhvac.com/,service@texanhvac.com,https://aridon-v02.vercel.app/demos/texan-hvac-7k3s,no_reply,no,not_due
2026-08-09,TBC Development,Texas,Construction,https://txcommercialconstruction.com/,info@txcommercialconstruction.com,https://aridon-v02.vercel.app/demos/tbc-development-6n2p,no_reply,no,not_due
2026-08-09,Texas Landscaping LLC,Texas,Landscape,https://texaslandscaping.com/,info@texaslandscaping.com,https://aridon-v02.vercel.app/demos/texas-landscaping-8y5c,no_reply,no,not_due
2026-08-09,Colorado Pro Roofing,Colorado,Roofing,https://coloradoproroofing.com/,info@coloradoproroofing.com,https://aridon-v02.vercel.app/demos/co-pro-roofing-2d8q,no_reply,no,not_due
2026-08-09,Falling Star Heating and Cooling,Colorado,HVAC,https://fallingstarhvac.com/,info@fallingstarhvac.com,https://aridon-v02.vercel.app/demos/falling-star-hvac-5j1a,no_reply,no,not_due
2026-08-09,Colorado Commercial Construction,Colorado,Construction,https://www.coloradocommercial.construction/,info@coloradocommercial.construction,https://aridon-v02.vercel.app/demos/colorado-commercial-6g4u,no_reply,no,not_due
2026-08-09,416 Landscape LLC,Colorado,Landscape,https://www.416landscape.com/,416landscapes@gmail.com,https://aridon-v02.vercel.app/demos/416-landscape-3r9v,no_reply,no,not_due
2026-08-10,Relentless Industries,New Mexico,Multi-trade contractor,https://relentlessnm.com/,info@relentlessnm.com,https://aridon-v02.vercel.app/daily-demos/relentless-nm-a10r,no_reply,no,not_due
2026-08-10,Castillo Solutions LLC,New Mexico,HVAC and plumbing,https://www.castillosolutionsllc.com/,info@castillosolutionsllc.com,https://aridon-v02.vercel.app/daily-demos/castillo-solutions-a10c,no_reply,no,not_due
2026-08-10,Del Rio Enterprises Inc.,New Mexico,General and electrical contractor,https://www.drei-nm.com/,info@drei-nm.com,https://aridon-v02.vercel.app/daily-demos/del-rio-enterprises-a10d,no_reply,no,not_due
2026-08-10,Zema Electrical LLC,New Mexico,Electrical contractor,https://www.zemaelectric.com/,info@zemaelectric.com,https://aridon-v02.vercel.app/daily-demos/zema-electrical-a10z,no_reply,no,not_due
2026-08-10,MSW Contracting LLC,Arizona,Roofing,https://www.roofarizona.com/,info@roofarizona.com,https://aridon-v02.vercel.app/daily-demos/msw-roofing-a10m,no_reply,no,not_due
2026-08-10,GPS Remodeling,Arizona,Roofing,https://gpsroofingaz.com/,info@gpsroofingaz.com,https://aridon-v02.vercel.app/daily-demos/gps-roofing-a10g,no_reply,no,not_due
2026-08-10,DHR Family of Companies,Arizona,Property maintenance and construction,https://dhrcontracting.com/,info@licensedtofix.com,https://aridon-v02.vercel.app/daily-demos/dhr-family-a10h,no_reply,no,not_due
2026-08-10,Hansel Landscape & Construction,Arizona,Landscape,https://hanselaz.com/,info@hanselaz.com,https://aridon-v02.vercel.app/daily-demos/hansel-landscape-a10l,no_reply,no,not_due
2026-08-10,Jenkins Roofing,Texas,Roofing,https://jenkinsroofing.com/,info@jenkinsroofing.com,https://aridon-v02.vercel.app/daily-demos/jenkins-roofing-a10j,no_reply,no,not_due
2026-08-10,West Texas Climate Control and Refrigeration LLC,Texas,HVAC,https://www.wtxcoolingandheating.com/,info@wtxcoolingandheating.com,https://aridon-v02.vercel.app/daily-demos/west-texas-climate-a10w,no_reply,no,not_due
2026-08-10,Texas Construction Company,Texas,General contractor,https://texasconstructioncompany.net/,info@texasconstructioncompany.com,https://aridon-v02.vercel.app/daily-demos/texas-construction-co-a10t,no_reply,no,not_due
2026-08-10,Plus Services,Texas,Commercial facility and landscape services,https://www.plustexas.com/,info@plustexas.com,https://aridon-v02.vercel.app/daily-demos/plus-services-a10p,no_reply,no,not_due
2026-08-10,CIG Construction,Colorado,Roofing,https://cigconstruction.com/,info@cigconstruction.com,https://aridon-v02.vercel.app/daily-demos/cig-construction-a10i,no_reply,no,not_due
2026-08-10,Victory Construction and Refrigeration LLC,Colorado,HVAC refrigeration and construction,https://victoryci.com/,info@victoryci.com,https://aridon-v02.vercel.app/daily-demos/victory-ci-a10v,no_reply,no,not_due
2026-08-10,MWC Construction,Colorado,Commercial construction,https://mwccolorado.com/,Info@MWCcolorado.com,https://aridon-v02.vercel.app/daily-demos/mwc-colorado-a10b,no_reply,no,not_due
2026-08-10,Sunrise Services,Colorado,Landscape and construction services,https://sunriseservices.co/,info@sunriseservices.co,https://aridon-v02.vercel.app/daily-demos/sunrise-services-co-a10s,no_reply,no,not_due
