date_added,company,state,industry,email,website,demo_url,reply_status,opt_out_status,follow_up_status,pilot_offered
2026-08-12,The New Mexico Landscaping Company,NM,landscaping,nmlandscapeco@gmail.com,https://www.nmlandscapingco.com/,https://aridon-v02.vercel.app/prospect-demos/nm-landscaping-co,sent,no,not_due,yes
2026-08-12,New Mexico Roofing Professionals,NM,roofing,info@nmroofpros.com,https://www.newmexicoroofingpros.com/,https://aridon-v02.vercel.app/prospect-demos/nm-roof-pros,sent,no,not_due,yes
2026-08-12,Solis Roofing,NM,roofing,info@solisroofingnm.com,https://www.solisroofingnm.com/,https://aridon-v02.vercel.app/prospect-demos/solis-roofing,sent,no,not_due,yes
2026-08-12,Air Conditioning Systems Inc.,NM,HVAC,info@acsincnm.com,https://acsincnm.com/,https://aridon-v02.vercel.app/prospect-demos/acs-nm,sent,no,not_due,yes
2026-08-12,Jack's Construction,NM,construction,info@jacksnm.com,https://www.jacksconstructionllc.com/,https://aridon-v02.vercel.app/prospect-demos/jacks-construction,sent,no,not_due,yes
2026-08-12,Sierra Roofing & Stucco,NM,roofing/construction,info@sierraroofingnm.com,https://sierraroofingnm.com/,https://aridon-v02.vercel.app/prospect-demos/sierra-roofing,sent,no,not_due,yes
2026-08-12,Tate Construction Company,NM,general contracting,info@tatecc.com,https://www.tateconstructioncompany.com/,https://aridon-v02.vercel.app/prospect-demos/tate-construction,sent,no,not_due,yes
2026-08-12,Aligned Roofing & Construction,NM,roofing,info@AlignedRoofingNewMexico.com,https://www.alignedroofingnewmexico.com/,https://aridon-v02.vercel.app/prospect-demos/aligned-roofing,sent,no,not_due,yes
2026-08-12,Phoenix Roofing AZ,AZ,roofing,roofdoctorsaz@gmail.com,https://www.phoenixroofingaz.com/,https://aridon-v02.vercel.app/prospect-demos/phoenix-roofing-az,sent,no,not_due,yes
2026-08-12,The Arizona Roof Co.,AZ,roofing,support@thearizonaroofco.com,https://thearizonaroofco.com/,https://aridon-v02.vercel.app/prospect-demos/arizona-roof-co,sent,no,not_due,yes
2026-08-12,Mesa Landscaping Arizona,AZ,landscaping,info@mesalandscapingarizona.com,https://www.mesalandscapingarizona.com/,https://aridon-v02.vercel.app/prospect-demos/mesa-landscaping-arizona,sent,no,not_due,yes
2026-08-12,EZ Landscape & Maintenance,AZ,landscaping,info@mesalandscapingaz.com,https://www.mesalandscapingaz.com/,https://aridon-v02.vercel.app/prospect-demos/ez-landscape,sent,no,not_due,yes
2026-08-12,Chamberlain Electric,AZ,electrical,Info@chamberlainelectric.com,https://www.chamberlainelectric.com/,https://aridon-v02.vercel.app/prospect-demos/chamberlain-electric,sent,no,not_due,yes
2026-08-12,Sonoran Landscape Design,AZ,landscape design-build,info@sonoranlandscapedesigninc.com,https://www.sonoranlandscapedesigninc.com/,https://aridon-v02.vercel.app/prospect-demos/sonoran-landscape,sent,no,not_due,yes
2026-08-12,Redwood Landscaping,AZ,landscaping,info@redwoodlandscaping.com,https://redwoodlandscaping.com/,https://aridon-v02.vercel.app/prospect-demos/redwood-landscaping,sent,no,not_due,yes
2026-08-12,Bob's Custom Roofing,AZ,roofing,info@bobscustomroofing.com,https://bobscustomroofing.com/,https://aridon-v02.vercel.app/prospect-demos/bobs-custom-roofing,sent,no,not_due,yes
